Id_place,latitude,longitude,name,Type_shop,raw_tags/cuisine,raw_tags/opening_hours,rating
80,56.47157,84.9536751,Русский гастроном,shop_greengrocer,,,0
81,56.4720848,84.9432168,Пилад,shop_greengrocer,,,0
82,56.4704558,84.9392749,Буяновский,shop_greengrocer,,,0
83,56.4673207,84.9396343,Халял,shop_greengrocer,,,0
84,56.4628228,84.940251,Kruger Haus,shop_greengrocer,,,0
85,56.4588542,84.9487331,Фрукты,shop_greengrocer,,,0
86,56.4662278,84.9548226,Ярче!,shop_supermarket,,07:00-23:00,0
87,56.4714548,84.9411812,Абрикос,shop_supermarket,,08:00-23:00,0
88,56.4587836,84.9471796,Магнит,shop_supermarket,,,0
89,56.4596308,84.9506015,Ярче!,shop_supermarket,,07:00-23:00,0
90,56.4587393,84.9514345,Ярче!,shop_supermarket,,08:00-22:00,0
91,56.4609827,84.9540822,Ярче!,shop_supermarket,,,0
92,56.4638585,84.9518173,Пятёрочка,shop_supermarket,,24/7,0
93,56.4591722,84.9459945,Дубрава,shop_supermarket,,Mo-Su 10:00-20:00,0
94,56.4643726,84.9405033,Мария-Ра,shop_supermarket,,,0
95,56.4638596,84.9519104,Fix Price,shop_variety_store,,Mo-Su 09:00-21:00,0
96,56.4681702,84.9461356,Школа плавания Кроль,shop_water_sports,,Mo-Su 09:00-21:00,0
97,56.469565,84.946677,Вендинговый автомат ТГУ,vending_machine,,,0
98,56.469781,84.942272,Вендинговый автомат ТГУ,vending_machine,,,0
99,56.469827,84.942484,Вендинговый автомат ТГУ,vending_machine,,,0
100,56.470211,84.942746,Вендинговый автомат ТГУ,vending_machine,,,0
101,56.468972,84.944932,Вендинговый автомат ТГУ,vending_machine,,,0
102,56.468357,84.944983,Вендинговый автомат ТГУ,vending_machine,,,0
103,56.469986,84.951569,Гербарий,restaurant,,09:00-23:00,0
104,56.467637,84.951123,Точка,cafe,,Пн-Сб 09:20:00 Вс 10:00-20:00,0
105,56.468465,84.945125,Xo bakery,cafe,,,0
